Species,Family,Sitename,Continent,Site_No,Cont_No,Species_No,Vcmax,Jmax,Rd,Vcmax_SE,Jmax_SE,Rd_SE,Photo,Tleaf,CO2S,PARi,LMA,Perc_N,Perc_P,Narea,Parea,Photomass,Jmaxmass,Vcmaxmass,Nmass,Pmass,NPratio,Plim_status
Corymbia latifolia,Myrtaceae,Adelaide River,Australia,1,122,59,57.2,98.2,1.36,6.2,4.8,0.75,13.1,32.5,376,2000,191.38,0.56,0.04,1.06,0.08,68.3,513.1,298.8,5.58,0.4,13.8,Low P
Eucalyptus tectifica,Myrtaceae,Adelaide River,Australia,1,170,59,80.3,124.7,0.02,11,7.9,1.18,20.6,32.4,370,2000,168.9,0.9,0.06,1.53,0.1,121.9,738.5,475.1,9.02,0.6,14.9,Low P
Caraipa punctulata,Calophyllaceae,Allpahuayo_01,S_Amer,2,72,16,43.7,82.9,0.38,3,2.7,0.5,9.5,30.8,388,1801,160.9,1.21,0.04,1.94,0.06,59.2,515,271.6,12.05,0.4,30.1,Low P
Cespedesia spathulata,Ochnaceae,Allpahuayo_01,S_Amer,2,90,61,31.7,99.6,1.49,2.1,NA,0.46,4.9,30.2,394,1799,119.3,1.56,0.08,1.86,0.1,40.8,834.7,265.7,15.59,0.8,19.5,Low P
Chaunochiton kappleri,Olacaceae,Allpahuayo_01,S_Amer,2,92,62,32.3,71.4,1.18,1.7,1.9,0.37,8.3,30.4,390,1799,124,1.96,0.121,2.43,0.15,67.1,575.5,260.4,19.58,1.21,16.2,Mod. P
Dipteryx micrantha,Fabaceae,Allpahuayo_01,S_Amer,2,141,36,46.3,66.2,-0.02,3.8,1.8,0.35,11.4,29.1,385,1799,143.4,1.37,0.062,1.96,0.09,79.6,462,322.8,13.69,0.62,22.1,Low P
Hevea pauciflora,Euphorbiaceae,Allpahuayo_01,S_Amer,2,213,35,38.8,69.4,0.1,2.5,2.1,0.41,10.2,28.9,387,1800,107.6,1.55,0.101,1.67,0.11,95.1,645,360.2,15.54,1.01,15.4,Mod. P
Inga striata,Fabaceae,Allpahuayo_01,S_Amer,2,228,36,41.8,83.6,-0.23,1.2,1.5,0.24,11.9,28.1,383,1800,78.1,3.88,0.13,3.03,0.1,151.9,1071,535.6,38.82,1.3,29.9,Mod. P
Iryanthera lancifolia,Myristicaceae,Allpahuayo_01,S_Amer,2,231,58,42.6,86.7,-0.49,1.5,1.6,0.3,12.7,28.4,383,1799,153.6,1.18,0.055,1.81,0.08,82.6,564.5,277.7,11.77,0.55,21.4,Low P
Minquartia guianensis,Olacaceae,Allpahuayo_01,S_Amer,2,286,62,42.3,72.7,-0.03,1.6,1.2,0.23,10.6,30.8,387,1801,125.7,1.11,0.036,1.4,0.05,83.9,578,336.9,11.1,0.36,30.8,Low P
Pourouma guianensis subsp. guianensis,Urticaceae,Allpahuayo_01,S_Amer,2,339,84,52.6,70.7,-1.34,10.7,3.8,0.75,15.9,29.5,379,1799,100.4,1.94,0.087,1.95,0.09,158.3,704.3,523.8,19.38,0.87,22.3,Low P
Ruptiliocarpon caracolito,Lepidobotryaceae,Allpahuayo_01,S_Amer,2,382,47,25.7,55.9,0.42,2.2,2.2,0.43,6.8,30.4,391,1800,73.7,2.38,0.077,1.75,0.06,91.9,758.3,348.2,23.79,0.77,30.9,Low P
Swartzia polyphylla,Fabaceae,Allpahuayo_01,S_Amer,2,415,36,37.6,65.8,0.68,2.6,2,0.4,7.4,30.1,390,1799,117.3,2.13,0.049,2.49,0.06,63.3,560.9,320.3,21.25,0.49,43.4,Low P
Aniba perutilis,Lauraceae,Allpahuayo_40,S_Amer,3,31,44,31.5,68.7,1.25,0.7,0.8,0.16,8.2,27.9,389,1799,144.2,1.22,0.039,1.75,0.06,56.7,476.2,218.7,12.17,0.39,31.2,Low P
