Species,Family,Sitename,Continent,Site_No,Cont_No,Species_No,Vcmax,Jmax,Pmass,NPratio,Plim_status,PPbin
Corymbia latifolia,Myrtaceae,Adelaide River,Australia,1,122,59,57.2,98.2,0.4,13.8,Low P,low
Eucalyptus tectifica,Myrtaceae,Adelaide River,Australia,1,170,59,80.3,124.7,0.6,14.9,Low P,low
Caraipa punctulata,Calophyllaceae,Allpahuayo_01,S_Amer,2,72,16,43.7,82.9,0.4,30.1,Low P,low
Cespedesia spathulata,Ochnaceae,Allpahuayo_01,S_Amer,2,90,61,31.7,99.6,0.8,19.5,Low P,med1
Chaunochiton kappleri,Olacaceae,Allpahuayo_01,S_Amer,2,92,62,32.3,71.4,1.21,16.2,Mod. P,med2
Dipteryx micrantha,Fabaceae,Allpahuayo_01,S_Amer,2,141,36,46.3,66.2,0.62,22.1,Low P,med1
Hevea pauciflora,Euphorbiaceae,Allpahuayo_01,S_Amer,2,213,35,38.8,69.4,1.01,15.4,Mod. P,med2
Inga striata,Fabaceae,Allpahuayo_01,S_Amer,2,228,36,41.8,83.6,1.3,29.9,Mod. P,high
Iryanthera lancifolia,Myristicaceae,Allpahuayo_01,S_Amer,2,231,58,42.6,86.7,0.55,21.4,Low P,low
Minquartia guianensis,Olacaceae,Allpahuayo_01,S_Amer,2,286,62,42.3,72.7,0.36,30.8,Low P,low
Pourouma guianensis subsp. guianensis,Urticaceae,Allpahuayo_01,S_Amer,2,339,84,52.6,70.7,0.87,22.3,Low P,med1
Ruptiliocarpon caracolito,Lepidobotryaceae,Allpahuayo_01,S_Amer,2,382,47,25.7,55.9,0.77,30.9,Low P,med1
Swartzia polyphylla,Fabaceae,Allpahuayo_01,S_Amer,2,415,36,37.6,65.8,0.49,43.4,Low P,low
Aniba perutilis,Lauraceae,Allpahuayo_40,S_Amer,3,31,44,31.5,68.7,0.39,31.2,Low P,low
Aspidosperma desmanthum,Apocynaceae,Allpahuayo_40,S_Amer,3,41,5,41.1,113.6,0.93,11.7,Mod. P,med1
Brosimum potabile,Moraceae,Allpahuayo_40,S_Amer,3,57,56,22.2,71.3,0.86,18.9,Low P,med1
Calyptranthes bipennis,Myrtaceae,Allpahuayo_40,S_Amer,3,70,59,20.3,52.8,0.34,25,Low P,low
Chrysophyllum sanguinolentum,Sapotaceae,Allpahuayo_40,S_Amer,3,95,77,56.9,99.2,0.51,18.2,Low P,low
Cybianthus nestorii,Primulaceae,Allpahuayo_40,S_Amer,3,131,69,36.7,90.1,0.44,18.7,Low P,low
Diplotropis sp.,Fabaceae,Allpahuayo_40,S_Amer,3,138,36,45.1,122.9,0.73,19.8,Low P,med1
Guatteria decurrens,Annonaceae,Allpahuayo_40,S_Amer,3,201,3,23.7,62.7,0.36,23.3,Low P,low
Humiria balsamifera,Humiriaceae,Allpahuayo_40,S_Amer,3,218,40,26.2,66.3,0.85,9.4,Low P,med1
Jacqueshuberia loretensis,Fabaceae,Allpahuayo_40,S_Amer,3,232,36,42.3,86.2,1.02,21.2,Mod. P,med2
Licania unguiculata,Chrysobalanaceae,Allpahuayo_40,S_Amer,3,249,23,28.7,75.9,1.26,12.8,Mod. P,med2
Ocotea aciphylla,Lauraceae,Allpahuayo_40,S_Amer,3,304,44,32.1,64.9,0.32,27.6,Low P,low
Roucheria schomburgkii,Linaceae,Allpahuayo_40,S_Amer,3,380,48,29.5,73,0.43,23.3,Low P,low
Simarouba amara,Simaroubaceae,Allpahuayo_40,S_Amer,3,396,78,36.8,83.4,0.51,20.2,Low P,low
Sloanea robusta,Elaeocarpaceae,Allpahuayo_40,S_Amer,3,401,33,31.6,71,0.53,12.6,Low P,low
Tachigali bracteosa,Fabaceae,Allpahuayo_40,S_Amer,3,427,36,35.3,102.5,0.98,16.8,Mod. P,med2
Tapirira guianensis,Anacardiaceae,Allpahuayo_40,S_Amer,3,430,2,23.2,52.2,0.92,16.8,Mod. P,med1
unidentified,NA,Allpahuayo_40,S_Amer,3,456,NA,35.7,66,0.94,10.9,Mod. P,med1
Virola pavonis,Myristicaceae,Allpahuayo_40,S_Amer,3,460,58,45.8,73.7,0.53,19.8,Low P,low
Corynanthe pachyceras,Rubiaceae,Asukese,Africa,5,124,73,22.4,50.7,0.89,27.7,Low P,med1
Hymenostegia afzelii,Fabaceae,Asukese,Africa,5,221,36,16.9,38.4,1.56,20.4,Mod. P,high
Nesogordonia papaverifera,Malvaceae,Asukese,Africa,5,301,51,22.4,47,1.44,20.4,Mod. P,high
Triplochiton scleroxylon,Malvaceae,Asukese,Africa,5,450,51,45.1,87.4,1.75,18.3,Mod. P,high
Acacia gourmaensis,Fabaceae,Bissiga,Africa,6,3,36,68.1,130.8,1.54,17,Mod. P,high
Anogeissus leiocarpa,Combretaceae,Bissiga,Africa,6,34,26,51.2,101.7,1.49,13.7,Mod. P,high
Combretum glutinosum,Combretaceae,Bissiga,Africa,6,113,26,75.1,135.8,1.2,15.1,Mod. P,med2
Combretum micranthum,Combretaceae,Bissiga,Africa,6,115,26,61.3,118.2,1.51,18.1,Mod. P,high
Lannea acida,Anacardiaceae,Bissiga,Africa,6,238,2,56.3,128.2,1,17.7,Mod. P,med2
Senna obtusifolia,Fabaceae,Bissiga,Africa,6,391,36,67.7,136.6,1.88,14.5,Mod. P,high
Vitellaria paradoxa,Sapotaceae,Bissiga,Africa,6,464,77,70.7,157.4,0.91,19.9,Low P,med1
Adansonia digitata,Bombacaceae,Boabeng-Fiema,Africa,7,11,12,43,118.3,2.53,8.7,Mod. P,high
Aidia genipiflora,Rubiaceae,Boabeng-Fiema,Africa,7,13,73,53.4,148.2,1.31,21.5,Mod. P,high
Albizia adianthifolia,Fabaceae,Boabeng-Fiema,Africa,7,14,36,27.3,67.5,1.13,26.7,Mod. P,med2
Anogeissus leiocarpa,Combretaceae,Boabeng-Fiema,Africa,7,34,26,41.1,103.1,1.86,11.3,Mod. P,high
Antiaris toxicaria,Moraceae,Boabeng-Fiema,Africa,7,35,56,37.8,62.6,1.01,23.9,Mod. P,med2
Blighia sapida,Sapindaceae,Boabeng-Fiema,Africa,7,54,76,25.4,66.6,1.27,19.1,Mod. P,med2
Bombax brevicuspe,Malvaceae,Boabeng-Fiema,Africa,7,55,51,45.6,124.6,0.91,15.8,Low P,med1
Cola caricifolia,Malvaceae,Boabeng-Fiema,Africa,7,108,51,26.4,76.2,1.99,15.9,Mod. P,high
Cola gigantea,Malvaceae,Boabeng-Fiema,Africa,7,109,51,34.8,62.6,1.55,12.7,Mod. P,high
Detarium senegalense,Fabaceae,Boabeng-Fiema,Africa,7,135,36,42,147.8,1.02,17.3,Mod. P,med2
Diospyros piscatoria,Ebenaceae,Boabeng-Fiema,Africa,7,137,32,38.9,95.7,1.57,18.9,Mod. P,high
Ficus sp.,Moraceae,Boabeng-Fiema,Africa,7,184,56,41.5,78.5,1.1,16.6,Mod. P,med2
Holarrhena floribunda,Apocynaceae,Boabeng-Fiema,Africa,7,216,5,42.8,97.3,1.91,14.3,Mod. P,high
Khaya grandifoliola,Meliaceae,Boabeng-Fiema,Africa,7,234,53,32,77.8,1.28,16.3,Mod. P,high
Parinari congoensis,Chrysobalanaceae,Boabeng-Fiema,Africa,7,317,23,37.7,95.5,1.18,14.4,Mod. P,med2
Phyllanthus sp.,Phyllanthaceae,Boabeng-Fiema,Africa,7,323,67,36.3,93,3.64,11.2,Mod. P,high
Pouteria alnifolia,Sapotaceae,Boabeng-Fiema,Africa,7,342,77,31.9,71.2,0.97,24.5,Mod. P,med2
Pterocarpus erinaceus,Fabaceae,Boabeng-Fiema,Africa,7,368,36,26.3,55.2,1.36,14,Mod. P,high
Pycnanthus angolensis,Myristicaceae,Boabeng-Fiema,Africa,7,371,58,38.2,81,1.35,20.6,Mod. P,high
Terminalia schimperiana,Combretaceae,Boabeng-Fiema,Africa,7,440,26,59.9,75.5,1.38,13,Mod. P,high
Trilepisium madagascariense,Moraceae,Boabeng-Fiema,Africa,7,449,56,34.9,56.6,1.84,11.9,Mod. P,high
Corymbia aparrerinja,Myrtaceae,Boulia_Qld,Australia,8,120,59,64.2,113.3,0.78,11.8,Low P,med1
Corymbia terminalis,Myrtaceae,Boulia_Qld,Australia,8,123,59,71.3,143.7,0.59,10.4,Low P,low
Alseodaphne petiolaris,Lauraceae,Bubeng_China,Asia,9,22,44,57.3,88.3,1.1,13.6,Mod. P,med2
Byttneria aspera,Malvaceae,Bubeng_China,Asia,9,66,51,49.6,80.3,0.97,22.1,Mod. P,med2
Castanopsis echidocarpa,Fagaceae,Bubeng_China,Asia,9,78,37,63.3,88.4,1.08,17.9,Mod. P,med2
Castanopsis hystrix,Fagaceae,Bubeng_China,Asia,9,79,37,65.5,128.8,0.8,19.8,Low P,med1
Castanopsis indica,Fagaceae,Bubeng_China,Asia,9,80,37,79.7,139,0.8,23.5,Low P,med1
Colona thorelii,Tiliaceae,Bubeng_China,Asia,9,111,81,71.1,146.2,1.36,21.4,Mod. P,high
Combretum latifolia,Combretaceae,Bubeng_China,Asia,9,114,26,36.4,65.1,1.69,13.3,Mod. P,high
Duabanga grandiflora,Sonneratiaceae,Bubeng_China,Asia,9,142,79,98.5,171.2,1.6,11.5,Mod. P,high
Ficus drupacea,Moraceae,Bubeng_China,Asia,9,178,56,64.6,99.4,1.96,9.9,Mod. P,high
Ficus lankokensis,Moraceae,Bubeng_China,Asia,9,181,56,53.5,87.4,1.16,19.9,Mod. P,med2
Ficus sagitatta,Moraceae,Bubeng_China,Asia,9,182,56,54.9,94.2,1.24,14.5,Mod. P,med2
Fissistigma maclurei,Annonaceae,Bubeng_China,Asia,9,186,3,44.8,79.4,1.05,19.6,Mod. P,med2
Fissistigma polyanthum,Annonaceae,Bubeng_China,Asia,9,187,3,59.2,88.3,0.99,19.5,Mod. P,med2
Garcinia cowa,Clusiaceae,Bubeng_China,Asia,9,192,25,28.5,62.4,0.9,19.7,Low P,med1
Garuga pinnata,Burseraceae,Bubeng_China,Asia,9,193,15,45.9,79.5,1.99,10,Mod. P,high
Parashorea chinensis,Dipterocarpacaeae,Bubeng_China,Asia,9,316,30,58.8,95.7,1.5,15.9,Mod. P,high
Pometia tomentosa,Sapindaceae,Bubeng_China,Asia,9,333,76,45.6,100.5,1.28,14.8,Mod. P,med2
Premna scandens,Verbenaceae,Bubeng_China,Asia,9,355,85,60.3,118.5,0.93,22,Mod. P,med1
